,scores
1604,999769.0
1605,999443.0
1606,999769.0
1607,999776.0
1608,998962.0
1609,998243.0
1610,998352.0
1611,999560.0
1612,999063.0
1613,999379.0
1614,999130.0
1615,-538.0
1616,998432.0
1617,998664.0
1618,998150.0
1619,-2536.0
1620,999529.0
1621,999260.0
1622,999305.0
1623,999100.0
1624,998250.0
1625,999048.0
1626,998236.0
1627,998998.0
1628,998439.0
1629,999752.0
1630,999742.0
1631,999776.0
1632,999655.0
1633,999734.0
1634,-722.0
1635,998962.0
1636,998208.0
1637,999754.0
1638,999606.0
1639,999751.0
1640,999783.0
1641,-2362.0
1642,-2608.0
1643,-1342.0
1644,998992.0
1645,997875.0
1646,999150.0
1647,999732.0
1648,999354.0
1649,-1684.0
1650,999076.0
1651,-2800.0
1652,998829.0
1653,998802.0
1654,999048.0
1655,999790.0
1656,998395.0
1657,-804.0
1658,-387.0
1659,999423.0
1660,999459.0
1661,999082.0
1662,999034.0
1663,998857.0
1664,999698.0
1665,999748.0
1666,999776.0
1667,999485.0
1668,998975.0
1669,999723.0
1670,999612.0
1671,998597.0
1672,999741.0
1673,999667.0
1674,999445.0
1675,-2794.0
1676,999769.0
1677,998873.0
1678,999753.0
1679,999467.0
1680,998915.0
1681,999744.0
1682,999371.0
1683,999670.0
1684,-2800.0
1685,999755.0
1686,998747.0
1687,999076.0
1688,999048.0
1689,999175.0
1690,999333.0
1691,998516.0
1692,999093.0
1693,998712.0
1694,998936.0
1695,998784.0
1696,998521.0
1697,999789.0
1698,-2218.0
1699,998698.0
1700,999382.0
1701,999254.0
1702,999681.0
1703,999776.0
1704,999783.0
1705,999776.0
1706,999584.0
1707,999783.0
1708,998408.0
1709,998850.0
1710,998558.0
1711,998596.0
1712,999762.0
1713,998828.0
1714,999347.0
1715,999783.0
1716,999118.0
1717,999762.0
1718,999776.0
1719,998894.0
1720,-2584.0
1721,999082.0
1722,999769.0
1723,-2846.0
1724,999009.0
1725,999790.0
1726,999748.0
1727,999691.0
1728,998545.0
1729,999748.0
1730,999377.0
1731,999762.0
1732,999748.0
1733,998117.0
1734,998593.0
1735,998992.0
1736,999762.0
1737,998404.0
1738,999769.0
1739,999055.0
1740,999678.0
1741,999447.0
1742,999741.0
1743,999797.0
1744,997393.0
1745,-2800.0
1746,999680.0
1747,999759.0
1748,999676.0
1749,999293.0
1750,998138.0
1751,998579.0
1752,998593.0
1753,999027.0
1754,999529.0
1755,998864.0
1756,999522.0
1757,-1615.0
1758,999011.0
1759,999330.0
1760,998796.0
1761,998460.0
1762,999730.0
1763,999748.0
1764,999094.0
1765,-2559.0
1766,999494.0
1767,999557.0
1768,999564.0
1769,999438.0
1770,999663.0
1771,999762.0
1772,999741.0
1773,998915.0
1774,999790.0
1775,998756.0
1776,-2506.0
1777,-2800.0
1778,999454.0
1779,999165.0
1780,998613.0
1781,-2808.0
1782,998204.0
1783,999748.0
1784,999361.0
1785,997944.0
1786,999751.0
1787,999753.0
1788,998278.0
1789,999769.0
1790,998509.0
1791,998047.0
1792,999721.0
1793,999302.0
1794,998735.0
1795,999769.0
1796,999765.0
1797,999452.0
1798,999650.0
1799,998775.0
1800,999469.0
1801,999256.0
1802,998628.0
1803,999346.0
1804,999006.0
1805,998740.0
1806,999515.0
1807,998187.0
1808,-2750.0
1809,998983.0
1810,998383.0
1811,998537.0
1812,-2764.0
1813,999748.0
1814,999340.0
1815,999424.0
1816,999407.0
1817,998540.0
1818,998698.0
1819,998936.0
1820,999437.0
1821,999576.0
1822,999518.0
1823,999783.0
