,scores
1801,-80.0
1802,-76.0
1803,-88.0
1804,-151.0
1805,-87.0
1806,-72.0
1807,-109.0
1808,-93.0
1809,-79.0
1810,-95.0
1811,-96.0
1812,-87.0
1813,-93.0
1814,-72.0
1815,-98.0
1816,-103.0
1817,-101.0
1818,-103.0
1819,-74.0
1820,-98.0
1821,-101.0
1822,-92.0
1823,-192.0
1824,-81.0
1825,-92.0
1826,-97.0
1827,-103.0
1828,-79.0
1829,-71.0
1830,-89.0
1831,-79.0
1832,-72.0
1833,-95.0
1834,-74.0
1835,-96.0
1836,-105.0
1837,-153.0
1838,-102.0
1839,-78.0
1840,-88.0
1841,-89.0
1842,-91.0
1843,-85.0
1844,-74.0
1845,-93.0
1846,-101.0
1847,-70.0
1848,-90.0
1849,-86.0
1850,-91.0
1851,-85.0
1852,-93.0
1853,-66.0
1854,-102.0
1855,-83.0
1856,-94.0
1857,-75.0
1858,-89.0
1859,-88.0
1860,-67.0
1861,-82.0
1862,-79.0
1863,-74.0
1864,-74.0
1865,-77.0
